smiles,tc,dc
CC1CCC2C(C1)C(C)CC2(C)C,6.976e+02,2.673e-01
CCCC(C(C)C)(CCC)CCC,6.692e+02,2.482e-01
CC(C(C(C)(C)C)C(C)(C)C)(C)C,7.384e+02,2.547e-01
CCCCC(CCCC)(CC)CC,6.724e+02,2.386e-01
CC(CCC(CC(C)C)CC(C)C)C,6.787e+02,2.308e-01
CC1(C)CCCCCCC(CC1)(C)C,7.618e+02,2.604e-01
CCCCC(CCC)(CCC)CCC,6.717e+02,2.455e-01
CC(C1CCCC(C1)C(C)(C)C)(C)C,7.064e+02,2.546e-01
CC1(C)CCCC(C)(C)CCCCC1,7.594e+02,2.609e-01
CCCCCC(CC(CC(C)C)C)C,6.845e+02,2.332e-01
CC(CCCCCCC(C)(C)C)(C)C,6.832e+02,2.293e-01
CC(CC(CC(C(C)C)C(C)C)C)C,6.913e+02,2.346e-01
CC(C1C(C(C)C)C(C1(C)C)(C)C)C,6.691e+02,2.568e-01
CC(CC(CC(C)C)(CC(C)C)C)C,6.876e+02,2.417e-01
CCC(C(CC(C)C)CC)CC(C)C,6.774e+02,2.371e-01
C=CC=C,4.280e+02,2.408e-01
CCC=C,4.144e+02,2.334e-01
CC=CC,4.255e+02,2.323e-01
C/C=C\C,4.386e+02,2.340e-01
C/C=C/C,4.261e+02,2.310e-01
CC(=C)C,4.296e+02,2.338e-01
C=CC(=C)C,4.917e+02,2.475e-01
C/C=C\C=C,4.841e+02,2.475e-01
C/C=C/C=C,4.787e+02,2.471e-01
C=CCC=C,4.670e+02,2.443e-01
CC=CC=C,4.810e+02,2.435e-01
CCCC=C,4.586e+02,2.387e-01
CC/C=C/C,4.682e+02,2.370e-01
CC/C=C\C,4.747e+02,2.395e-01
CCC(=C)C,4.749e+02,2.367e-01
C=CC(C)C,4.539e+02,2.374e-01
CC=C(C)C,4.883e+02,2.381e-01
c1ccccc1,5.469e+02,3.041e-01
C1CC=CC=C1,5.770e+02,2.891e-01
C1=CCC=CC1,5.763e+02,2.883e-01
C=C/C=C/C=C,5.297e+02,2.522e-01
C=C/C=C\C=C,5.296e+02,2.514e-01
C=CC=CC=C,5.293e+02,2.537e-01
C1CCC=CC1,5.527e+02,2.780e-01
CC/C=C\C=C,5.209e+02,2.459e-01
CC/C=C/C=C,5.153e+02,2.459e-01
C=CC/C=C/C,5.073e+02,2.440e-01
C=CC/C=C\C,5.193e+02,2.453e-01
C=CCCC=C,5.043e+02,2.451e-01
C/C=C/C=C/C,5.247e+02,2.443e-01
C/C=C\C=C\C,5.288e+02,2.487e-01
C/C=C\C=C/C,5.328e+02,2.487e-01
C/C=C(/C=C)\C,5.392e+02,2.485e-01
C/C=C(\C=C)/C,5.388e+02,2.488e-01
C/C=C/C(=C)C,5.364e+02,2.486e-01
C=CC=C(C)C,5.278e+02,2.505e-01
C=CCC(=C)C,5.149e+02,2.437e-01
C=CC(C=C)C,4.999e+02,2.434e-01
