SMILES T dliq dgas st tc redT
CCC(C(C)C)C 415 0.5664 0.01696 8.683 532.1 0.7799285848524713
CCC(C(C)C)C 436 0.5415 0.027139999999999997 6.529 532.1 0.8193948505919939
CCC(C(C)C)C 456 0.5118 0.0381 5.111000000000001 532.1 0.8569817703439203
CC(CC(C)C)C 179 0.7918 2.628e-05 34.77 526.1 0.34023949819425964
CC(CC(C)C)C 260 0.7099 7.663e-06 23.02 526.1 0.4942026230754609
CC(CC(C)C)C 321 0.6547 0.0006722000000000001 16.7 526.1 0.6101501615662421
CC(CC(C)C)C 361 0.6157 0.004646 12.5 526.1 0.6861813343470823
CC(CC(C)C)C 381 0.5954 0.008478 10.76 526.1 0.7241969207375023
CC(CC(C)C)C 402 0.5725 0.01228 9.371 526.1 0.7641132864474435
CC(CC(C)C)C 422 0.549 0.018340000000000002 6.886 526.1 0.8021288728378635
CC(CC(C)C)C 442 0.5239 0.0287 5.391 526.1 0.8401444592282835
CCC(CC)(C)C 164 0.8017 2.328e-05 35.04 522.2 0.3140559172730754
CCC(CC)(C)C 254 0.7195 1.7730000000000002e-06 23.27 522.2 0.4864036767522022
CCC(CC)(C)C 321 0.6598 0.001377 16.36 522.2 0.6147070088088854
CCC(CC)(C)C 366 0.6139 0.006919 11.98 522.2 0.7008808885484488
CCC(CC)(C)C 389 0.5904 0.01239 9.789 522.2 0.7449253159708923
CCC(CC)(C)C 411 0.5651 0.018869999999999998 7.877999999999999 522.2 0.7870547682880122
CCC(CC)(C)C 434 0.5336 0.02839 5.267 522.2 0.8310991957104557
CC(C(C)(C)C)C 273 0.7044 0.00018600000000000002 21.21 531.3 0.5138339920948617
CC(C(C)(C)C)C 328 0.6542 0.001898 15.7 531.3 0.6173536608319218
CC(C(C)(C)C)C 369 0.6144 0.0073420000000000004 11.47 531.3 0.6945228684359119
CC(C(C)(C)C)C 396 0.585 0.012159999999999999 9.401 531.3 0.7453416149068324
CC(C(C)(C)C)C 410 0.5705 0.01605 7.247000000000001 531.3 0.7716920760399022
CC(C(C)(C)C)C 424 0.5543 0.01955 6.7410000000000005 531.3 0.798042537172972
CC(C(C)(C)C)C 437 0.537 0.02713 5.555 531.3 0.8225108225108225
CC(C(C)(C)C)C 451 0.5164 0.038669999999999996 4.563 531.3 0.8488612836438925
CC1CC1 121 0.8358 0.004951 42.72 434.0 0.27880184331797236
CC1CC1 198 0.7516 1.111e-05 30.89 434.0 0.45622119815668205
